id,datetime_entry,id_campaign_incoming,id_call_incoming,id_campaign_outgoing,id_call_outgoing,new_status,retry,uniqueid,trunk,id_agent,duration
643821,"2020-01-22 06:50:15",NULL,236094,NULL,NULL,OnQueue,0,1579656005.95468,SIP/TATA_Trunk,NULL,NULL
643822,"2020-01-22 06:50:16",NULL,236094,NULL,NULL,Success,0,1579656005.95468,SIP/TATA_Trunk,17,NULL
643823,"2020-01-22 06:51:30",NULL,236095,NULL,NULL,OnQueue,0,1579656066.95470,SIP/TATA_Trunk,NULL,NULL
643824,"2020-01-22 06:51:59",NULL,236096,NULL,NULL,OnQueue,0,1579656110.95471,SIP/TATA_Trunk,NULL,NULL
643825,"2020-01-22 06:52:15",NULL,236095,NULL,NULL,Abandoned,0,1579656066.95470,SIP/TATA_Trunk,NULL,NULL
643826,"2020-01-22 06:52:42",NULL,236097,NULL,NULL,OnQueue,0,1579656139.95472,SIP/TATA_Trunk,NULL,NULL
643827,"2020-01-22 06:52:45",NULL,236097,NULL,NULL,Abandoned,0,1579656139.95472,SIP/TATA_Trunk,NULL,NULL
643828,"2020-01-22 06:52:51",NULL,236094,NULL,NULL,Hangup,0,1579656005.95468,SIP/TATA_Trunk,17,156
643829,"2020-01-22 06:52:56",NULL,236098,NULL,NULL,OnQueue,0,1579656168.95473,SIP/TATA_Trunk,NULL,NULL
643830,"2020-01-22 06:52:57",NULL,236096,NULL,NULL,Success,0,1579656110.95471,SIP/TATA_Trunk,17,NULL
643831,"2020-01-22 06:53:20",NULL,236098,NULL,NULL,Abandoned,0,1579656168.95473,SIP/TATA_Trunk,NULL,NULL
643832,"2020-01-22 06:54:42",NULL,236096,NULL,NULL,Hangup,0,1579656110.95471,SIP/TATA_Trunk,17,106
643833,"2020-01-22 06:55:58",NULL,236099,NULL,NULL,OnQueue,0,1579656332.95477,SIP/TATA_Trunk,NULL,NULL
643834,"2020-01-22 06:55:59",NULL,236099,NULL,NULL,Success,0,1579656332.95477,SIP/TATA_Trunk,18,NULL
643835,"2020-01-22 06:56:52",NULL,236099,NULL,NULL,Hangup,0,1579656332.95477,SIP/TATA_Trunk,18,54
643836,"2020-01-22 06:57:33",NULL,236100,NULL,NULL,OnQueue,0,1579656447.95480,SIP/TATA_Trunk,NULL,NULL
643837,"2020-01-22 06:57:33",NULL,236100,NULL,NULL,Success,0,1579656447.95480,SIP/TATA_Trunk,17,NULL
643838,"2020-01-22 06:58:57",NULL,236101,NULL,NULL,OnQueue,0,1579656522.95482,SIP/TATA_Trunk,NULL,NULL
643839,"2020-01-22 06:58:58",NULL,236101,NULL,NULL,Success,0,1579656522.95482,SIP/TATA_Trunk,18,NULL
643840,"2020-01-22 07:01:49",NULL,236100,NULL,NULL,Hangup,0,1579656447.95480,SIP/TATA_Trunk,17,256
643841,"2020-01-22 07:02:34",1,236102,NULL,NULL,OnQueue,0,1579656738.95485,SIP/TATA_Trunk,NULL,NULL
643842,"2020-01-22 07:02:34",1,236102,NULL,NULL,Success,0,1579656738.95485,SIP/TATA_Trunk,23,NULL
643843,"2020-01-22 07:02:56",1,236102,NULL,NULL,Hangup,0,1579656738.95485,SIP/TATA_Trunk,23,22
643844,"2020-01-22 07:03:03",1,236103,NULL,NULL,OnQueue,0,1579656773.95487,SIP/TATA_Trunk,NULL,NULL
643845,"2020-01-22 07:03:03",1,236103,NULL,NULL,Success,0,1579656773.95487,SIP/TATA_Trunk,17,NULL
643846,"2020-01-22 07:03:11",1,236103,NULL,NULL,Hangup,0,1579656773.95487,SIP/TATA_Trunk,17,8
643847,"2020-01-22 07:03:13",1,236104,NULL,NULL,OnQueue,0,1579656784.95489,SIP/TATA_Trunk,NULL,NULL
643848,"2020-01-22 07:03:14",1,236104,NULL,NULL,Success,0,1579656784.95489,SIP/TATA_Trunk,23,NULL
643849,"2020-01-22 07:03:32",1,236105,NULL,NULL,OnQueue,0,1579656796.95491,SIP/TATA_Trunk,NULL,NULL
643850,"2020-01-22 07:03:32",1,236105,NULL,NULL,Success,0,1579656796.95491,SIP/TATA_Trunk,17,NULL
643851,"2020-01-22 07:05:05",NULL,236101,NULL,NULL,Hangup,0,1579656522.95482,SIP/TATA_Trunk,18,367
643852,"2020-01-22 07:05:32",1,236106,NULL,NULL,OnQueue,0,1579656920.95493,SIP/TATA_Trunk,NULL,NULL
643853,"2020-01-22 07:05:32",1,236106,NULL,NULL,Success,0,1579656920.95493,SIP/TATA_Trunk,18,NULL
643854,"2020-01-22 07:05:47",1,236104,NULL,NULL,Hangup,0,1579656784.95489,SIP/TATA_Trunk,23,153
643855,"2020-01-22 07:06:13",1,236105,NULL,NULL,Hangup,0,1579656796.95491,SIP/TATA_Trunk,17,161
643856,"2020-01-22 07:06:15",1,236107,NULL,NULL,OnQueue,0,1579656963.95495,SIP/TATA_Trunk,NULL,NULL
643857,"2020-01-22 07:06:16",1,236107,NULL,NULL,Success,0,1579656963.95495,SIP/TATA_Trunk,23,NULL
643858,"2020-01-22 07:06:53",1,236106,NULL,NULL,Hangup,0,1579656920.95493,SIP/TATA_Trunk,18,81
643859,"2020-01-22 07:08:28",1,236107,NULL,NULL,Hangup,0,1579656963.95495,SIP/TATA_Trunk,23,132
643860,"2020-01-22 07:10:21",1,236108,NULL,NULL,OnQueue,0,1579657206.95498,SIP/TATA_Trunk,NULL,NULL
643861,"2020-01-22 07:10:21",1,236108,NULL,NULL,Success,0,1579657206.95498,SIP/TATA_Trunk,17,NULL
643862,"2020-01-22 07:11:25",1,236109,NULL,NULL,OnQueue,0,1579657271.95500,SIP/TATA_Trunk,NULL,NULL
643863,"2020-01-22 07:11:26",1,236109,NULL,NULL,Success,0,1579657271.95500,SIP/TATA_Trunk,18,NULL
